FPA_ID,FIRE_YEAR,FIRE_NAME,DISCOVERY_DATE,DISCOVERY_DOY,CAUSE_CLASS,GENERAL_CAUSE,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,MONTH
FS-6969040,2019,LOPEZ,2019-09-21,264,Human,Recreation and ceremony,220.0,D,35.21333333,-120.45444444,6
SFO-2019CACDFKRN193004,2019,,2019-07-21,202,Missing data/not specified/undetermined,Missing data/not specified/undetermined,219.25,D,34.916666,-118.91666599999999,4
W-729884,2019,WOLF,2019-06-29,180,Human,Missing data/not specified/undetermined,214.0,D,33.8947,-117.0158,4
SFO-2019CACDFBTU001158,2019,OROVILLE DAM BLVD E/ 5TH,2019-09-28,271,Human,Power generation/transmission/distribution,210.01,D,39.499751,-121.56521699999999,4
SFO-2019CACDFMMU001337,2019,,2019-06-29,180,Human,Debris and open burning,210.01,D,37.723702,-120.103447,7
FS-6985573,2019,LUMGREY,2019-06-17,168,Human,Equipment and vehicle use,207.0,D,41.865,-122.83,8
FS-6966847,2019,KIDDER 2,2019-09-05,248,Natural,Natural,207.0,D,41.50805556,-123.065,9
SFO-2019CACDFSLU001277,2019,FOOTHILL,2019-09-21,264,Human,Missing data/not specified/undetermined,204.0,D,35.276583,-120.71158500000001,9
W-734493,2019,DEHESA 11,2019-09-24,267,Human,Missing data/not specified/undetermined,200.0,D,32.7725,-116.8228,7
W-731311,2019,DOYLE,2019-07-14,195,Human,Other causes,193.8,D,40.069289000000005,-120.15961499999999,9
SFO-2019CACDFSCU000651,2019,XSC# M190290004,2019-09-11,254,Missing data/not specified/undetermined,Missing data/not specified/undetermined,190.0,D,37.124406,-121.648871,9
SFO-2019CACDFSCU000778,2019,DINOSAUR,2019-10-27,300,Missing data/not specified/undetermined,Missing data/not specified/undetermined,176.0,D,37.066401,-121.219118,8
FS-6982685,2019,HILLSIDE,2019-10-31,304,Human,Missing data/not specified/undetermined,173.0,D,34.18555556,-117.28388889,7
FS-6976442,2019,BAUTISTA,2019-09-15,258,Human,Equipment and vehicle use,167.0,D,33.63805556,-116.80111111,8
W-737103,2019,ANTELOPE,2019-09-02,245,Human,Firearms and explosives use,167.0,D,36.5569,-120.8433,8
FWS-2019USCALURMG3K,2019,REFUGE,2019-07-21,202,Human,Missing data/not specified/undetermined,158.9,D,37.276742,-120.847765,8
FS-6948215,2019,FIVE,2019-08-03,215,Human,Equipment and vehicle use,156.0,D,34.61111111,-118.71194444,7
SFO-2019CACDFSHU000878,2019,,2019-08-15,227,Missing data/not specified/undetermined,Missing data/not specified/undetermined,156.0,D,40.485727000000004,-122.14695,9
SFO-2019CACDFMMU001513,2019,,2019-07-21,202,Missing data/not specified/undetermined,Missing data/not specified/undetermined,155.0,D,37.402761,-120.035036,7
FS-6982674,2019,OLD WATER,2019-10-24,297,Human,Missing data/not specified/undetermined,154.0,D,34.18,-117.26944444,9
SFO-2019CACDFBDU197342,2019,,2019-07-28,209,Human,Missing data/not specified/undetermined,154.0,D,34.001912,-117.76751200000001,7
W-730813,2019,GILLIGAN,2019-07-22,203,Human,Missing data/not specified/undetermined,150.0,D,33.6328,-114.5358,9
FWS-2019USCATNRMH8K,2019,DEHESA 8,2019-07-28,209,Missing data/not specified/undetermined,Missing data/not specified/undetermined,150.0,D,32.780407000000004,-116.865581,7
W-733437,2019,SKY,2019-08-05,217,Human,Power generation/transmission/distribution,139.0,D,36.0664,-120.1378,9
SFO-2019CACDFFKU001536,2019,W JAYNE AVE  COALINGA,2019-10-18,291,Missing data/not specified/undetermined,Missing data/not specified/undetermined,137.25,D,36.13658,-120.24065,7
W-732253,2019,R 1 JUNIPER,2019-08-07,219,Natural,Natural,130.0,D,40.8867,-120.3364,7
W-734906,2019,HORSE,2019-08-24,236,Human,Missing data/not specified/undetermined,130.0,D,40.5569,-120.5394,7
FS-6906035,2018,RANCH,2018-07-28,209,Human,Equipment and vehicle use,410203.0,G,39.23888889,-123.10861111,8
FS-6916335,2018,CARR,2018-07-23,204,Human,Equipment and vehicle use,229651.0,G,40.67,-122.64305556,7
W-726519,2018,CAMP,2018-11-08,312,Human,Power generation/transmission/distribution,153336.0,G,39.8139,-121.4347,7
W-727171,2018,FERGUSON,2018-07-13,194,Human,Missing data/not specified/undetermined,96953.0,G,37.6519,-119.8808,9
W-727307,2018,WOOLSEY,2018-11-08,312,Human,Missing data/not specified/undetermined,96949.0,G,34.24,-118.6997,5
W-723622,2018,COUNTY,2018-06-30,181,Human,Other causes,90288.0,G,38.81,-122.1997,7
FS-6900746,2018,DELTA,2018-09-05,248,Human,Missing data/not specified/undetermined,63458.0,G,40.9425,-122.42722222,7
W-723599,2018,RIVER,2018-07-27,208,Human,Missing data/not specified/undetermined,48920.0,G,39.06,-123.1397,8
FS-6897723,2018,HIRZ,2018-08-09,221,Human,Missing data/not specified/undetermined,40580.0,G,40.89111111,-122.22833333,5
FS-6923645,2018,STONE,2018-08-15,227,Natural,Natural,39387.0,G,41.37111111,-121.05666667,6
ICS209_2018_9059104,2018,NATCHEZ,2018-07-15,196,Natural,Natural,38134.0,G,41.9558,-123.5514,4
FS-6912699,2018,KLAMATHON,2018-07-05,186,Human,Debris and open burning,38008.0,G,41.88083333,-122.54,8
FS-6884802,2018,DONNELL,2018-08-01,213,Natural,Natural,36450.0,G,38.35027778,-119.92805556,8
FS-6888610,2018,HOLY,2018-08-06,218,Human,Missing data/not specified/undetermined,23025.0,G,33.67833333,-117.51444444,8
SFO-2018CACDFBDU815205,2018,,2018-07-25,206,Missing data/not specified/undetermined,Missing data/not specified/undetermined,22000.0,G,34.135812,-117.43170500000001,8
FS-6914909,2018,WHALEBACK,2018-07-27,208,Natural,Natural,18705.0,G,40.625,-120.88277778,9
FS-6873311,2018,PAWNEE,2018-06-23,174,Human,Missing data/not specified/undetermined,15186.0,G,39.09972222,-122.61638889,8
FS-6892586,2018,CRANSTON,2018-07-25,206,Human,Arson/incendiarism,13229.0,G,33.71138889,-116.76944444,9
ICS209_2018_9073354,2018,LIONS,2018-06-11,162,Natural,Natural,12990.0,G,37.56544,-119.1269,8
SFO-2018CACDFTCU000035,2018,,2018-01-03,3,Human,Missing data/not specified/undetermined,12300.01,G,37.607203999999996,-121.010773,8
SFO-2018CACDFTCU007477,2018,WAVERLY,2018-06-29,180,Human,Equipment and vehicle use,11789.0,G,38.052054999999996,-120.94548200000001,8
FS-6908912,2018,BOOT,2018-09-04,247,Human,Equipment and vehicle use,6974.0,G,38.38444444,-119.45027778,9
FS-6897777,2018,MOORE,2018-08-09,221,Human,Missing data/not specified/undetermined,5570.0,G,40.89333333,-122.22833333,9
SFO-2018CACDFMMU012081,2018,PLANADA,2018-06-15,166,Human,Equipment and vehicle use,4563.0,F,37.342207,-120.31090800000001,6
SFO-2018CACDFVNC041023,2018,,2018-11-08,312,Missing data/not specified/undetermined,Missing data/not specified/undetermined,4381.2,F,34.22622,-118.93003,9
SFO-2018CACDFTGU006031,2018,LANE,2018-06-23,174,Missing data/not specified/undetermined,Missing data/not specified/undetermined,3996.8,F,40.337359,-121.91388899999998,7
W-724897,2018,SUN,2018-10-07,280,Human,Equipment and vehicle use,3889.0,F,40.2608,-122.1383,8
W-723077,2018,MILL CREEK 1,2018-08-16,228,Human,Arson/incendiarism,3674.0,F,41.0797,-123.6881,8
ICS209_2018_9232042,2018,TARINA,2018-08-03,215,Missing data/not specified/undetermined,Missing data/not specified/undetermined,3516.0,F,35.4,-118.77,6
W-724281,2018,CHARLIE,2018-09-22,265,Human,Missing data/not specified/undetermined,3388.0,F,34.4961,-118.5861,6
SFO-2018CACDFTGU005555,2018,APPLE,2018-06-09,160,Human,Equipment and vehicle use,2956.0,F,39.943551,-122.35710300000001,7
FS-6877787,2018,GEORGES,2018-07-08,189,Natural,Natural,2941.0,F,36.64583333,-118.22111111,7
FS-6914816,2018,ALDER,2018-10-04,277,Natural,Natural,2682.0,F,36.2025,-118.45611111,7
W-723595,2018,SNELL,2018-09-08,251,Human,Equipment and vehicle use,2490.0,F,38.73,-122.3997,7
SFO-2018CACDFTGU005560,2018,CHROME2,2018-06-09,160,Human,Missing data/not specified/undetermined,2290.0,F,39.663439000000004,-122.52577,9
ICS209_2018_9228680,2018,TURKEY,2018-08-06,218,Missing data/not specified/undetermined,Missing data/not specified/undetermined,2225.0,F,35.8,-120.36,7
SFO-2018CACDFLNU012354,2018,NELSON,2018-08-10,222,Human,Missing data/not specified/undetermined,2162.0,F,38.312621,-121.99424099999999,7
W-721334,2018,EAGLE,2018-07-14,195,Human,Equipment and vehicle use,2098.0,F,41.27936,-120.11657,7
W-715700,2018,PLEASANT,2018-02-11,42,Human,Recreation and ceremony,2068.0,F,37.412486,-118.515,7
W-726293,2018,EDEN,2018-10-04,277,Natural,Natural,1777.0,F,36.40984,-118.7368,8
SFO-2018CACDFMMU008764,2018,NEES,2018-05-02,122,Human,Equipment and vehicle use,1756.0,F,36.86003,-120.780445,8
FS-6893953,2018,KERLIN,2018-09-04,247,Human,Other causes,1751.0,F,40.61583333,-123.52416667,8
W-719839,2018,CREEK,2018-06-24,175,Human,Arson/incendiarism,1678.0,F,40.507331,-122.399622,8
ICS209_2018_9214925,2018,PENDLETON COMPLEX,2018-07-06,187,Missing data/not specified/undetermined,Missing data/not specified/undetermined,1520.0,F,33.38,-117.43,10
FS-6870701,2018,STONE,2018-06-04,155,Human,Equipment and vehicle use,1436.0,F,34.53916667,-118.30861111,8
FS-6878623,2018,VALLEY,2018-07-06,187,Human,Missing data/not specified/undetermined,1343.0,F,34.09805556,-116.95805556,8
SFO-2018CACDFBEU002666,2018,AIRLINE 2,2018-06-04,155,Human,Missing data/not specified/undetermined,1314.0,F,36.407554,-120.993223,8
W-717525,2018,PATTERSON,2018-05-17,137,Human,Missing data/not specified/undetermined,1261.0,F,33.6292,-117.06,8
ICS209_2018_9257795,2018,BUTTE FIRE,2018-07-31,212,Missing data/not specified/undetermined,Missing data/not specified/undetermined,1200.0,F,39.19,-121.8,8
FS-6920843,2018,NORTH,2018-09-03,246,Human,Recreation and ceremony,1120.0,F,39.02722222,-120.65583333,8
SFO-2018CACDFBDU005618,2018,MOFFAT,2018-04-19,109,Missing data/not specified/undetermined,Missing data/not specified/undetermined,1065.0,F,36.7072,-118.09583300000001,8
FS-6910990,2018,FRONT,2018-08-19,231,Human,Missing data/not specified/undetermined,1014.0,F,35.12027778,-120.10194444,8
ICS209_2018_9177626,2018,STONEY,2018-07-13,194,Missing data/not specified/undetermined,Missing data/not specified/undetermined,962.0,E,39.79,-121.74,9
W-723989,2018,HAT,2018-08-09,221,Human,Missing data/not specified/undetermined,950.0,E,40.993439,-121.52225,9
FS-6906302,2018,EEL,2018-07-31,212,Human,Missing data/not specified/undetermined,938.0,E,39.83194444,-123.04972222,9
SFO-2018CACDFAEU018720,2018,IRISH,2018-07-06,187,Human,Equipment and vehicle use,825.0,E,38.421515,-120.955347,9
SFO-2018CACDFLNU010755,2018,EIGHTY EIGHT,2018-07-18,199,Missing data/not specified/undetermined,Missing data/not specified/undetermined,822.0,E,38.591526,-121.98981200000001,9
W-719908,2018,DALE,2018-07-09,190,Human,Equipment and vehicle use,722.0,E,40.3078,-122.095,6
SFO-2018CACDFBEU003992,2018,GULCH,2018-08-11,223,Human,Missing data/not specified/undetermined,700.0,E,35.9789,-120.87858,8
SFO-2018CACDFNEU018479,2018,SUNSET,2018-08-01,213,Missing data/not specified/undetermined,Missing data/not specified/undetermined,695.0,E,38.824268,-121.451307,8
SFO-2018CACDFFKU803278,2018,,2018-06-04,155,Missing data/not specified/undetermined,Missing data/not specified/undetermined,650.0,E,36.732775,-120.34284699999999,8
W-718559,2018,TUMBLEWEED,2018-06-14,165,Human,Equipment and vehicle use,645.7,E,40.37749,-120.3656,8
SFO-2018CACDFTCU010699,2018,TULLOCH,2018-09-08,251,Human,Missing data/not specified/undetermined,573.0,E,37.839203000000005,-120.62606699999999,4
SFO-2018CACDFBTU016272,2018,JUNES,2018-10-30,303,Human,Debris and open burning,550.0,E,39.369467,-121.5144,8
FS-6914860,2018,MOUNTAINEER,2018-10-13,286,Natural,Natural,528.0,E,36.21972222,-118.56916667,9
FS-6874439,2018,WEST,2018-07-06,187,Human,Missing data/not specified/undetermined,505.4,E,32.83333333,-116.73277778,4
SFO-2018CACDFTUU000389,2018,RIVER 7,2018-08-15,227,Missing data/not specified/undetermined,Missing data/not specified/undetermined,496.0,E,35.813169,-118.845499,6
SFO-2018CACDFSCU004856,2018,GRANT,2018-07-08,189,Human,Missing data/not specified/undetermined,488.0,E,37.726,-121.638167,9
SFO-2018CACDFBTU009333,2018,SHIPPEE,2018-06-26,177,Human,Missing data/not specified/undetermined,460.0,E,39.605524,-121.767983,8
W-720956,2018,HOT CREEK,2018-07-31,212,Natural,Natural,436.0,E,37.696834,-118.82458700000001,8
W-719941,2018,BEAR,2018-06-21,172,Human,Missing data/not specified/undetermined,414.0,E,36.03094,-118.78663999999999,8
SFO-2018CACDFBEU004537,2018,METZ,2018-09-13,256,Human,Missing data/not specified/undetermined,411.0,E,36.356536,-121.213401,8
W-726788,2018,INDIAN,2018-09-04,247,Natural,Natural,400.0,E,37.8081,-119.5756,8
SFO-2018CACDFSCU806602,2018,,2018-06-29,180,Human,Equipment and vehicle use,400.0,E,37.94721,-121.992149,8
